timestamp,agent.name,syscheck.path,syscheck.event,rule.description,rule.level,rule.id
"May 7, 2025 @ 05:06:02.042","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:02.026","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:02.010","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.995","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.979","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.963","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.948","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.932","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.917","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.901","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.885","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
