timestamp,agent.name,rule.description,rule.level,rule.id
"May 7, 2025 @ 05:05:52.276","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.276","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.245","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.244","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.215","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.213","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.183","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.182","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.151","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.150","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.120","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.119","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.088","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.088","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
