timestamp,agent.name,rule.description,rule.level,rule.id
"May 7, 2025 @ 08:00:09.931","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 08:00:01.849","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 08:00:01.808","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 07:44:09.944","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 07:44:01.808","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 07:44:01.806","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 07:43:58.319","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 07:28:09.927","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 07:28:01.859","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 07:28:01.818","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 07:13:58.315","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 07:12:09.924","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 07:12:01.844","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 07:12:01.814","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 07:09:15.333","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 07:09:12.751","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 07:09:12.723","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 07:07:23.820","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 07:06:45.658","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 07:04:58.516","WIN-3KH74N2U82B","Windows User Logoff","3","60137"
"May 7, 2025 @ 07:04:58.484","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 07:04:57.781","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 07:04:57.734","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 07:04:57.697","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 07:04:55.093","WIN-3KH74N2U82B","Windows User Logoff","3","60137"
"May 7, 2025 @ 07:04:55.031","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 07:04:45.518","WIN-3KH74N2U82B","Windows System error event","5","61102"
"May 7, 2025 @ 06:59:24.156","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 06:58:24.141","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 06:56:09.937","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 06:56:01.853","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 06:56:01.812","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
